phase,feature,mean,std,min,max,n
CHASE,ECG_mean_rr_ms,948.6904,499.4307,663.7692,2072.1667,7
CHASE,ECG_std_rr_ms,459.4508,1051.4347,11.2671,2841.5531,7
CHASE,EMG_mean_uV,27.6876,17.3588,12.2522,63.1438,7
CHASE,EMG_std_uV,20.6270,26.8965,3.1607,80.1000,7
CHASE,EMG_max_uV,223.1062,302.2741,29.1287,895.1331,7
CHASE,EMG_rms_uV,36.0059,30.0501,12.6533,101.9958,7
CHASE,EMG_integrated_emg,673.8639,550.1730,77.1928,1629.1491,7
CHASE,EDA_mean_SCL_uS,26.6671,1.4652,23.9380,27.8235,7
CHASE,EDA_std_SCL_uS,0.6930,0.3677,0.0993,1.1653,7
CHASE,EDA_mean_SCR_uS,1.3787,1.0362,0.5432,3.4543,7
CHASE,EDA_max_SCR_uS,2.0111,0.9420,1.2032,3.5423,7
CHASE,EDA_num_SCR_peaks,0.5714,0.9759,0.0000,2.0000,7
